,vertical_column_troposphere,day
0,3.603173135324365,2024-11-30
0,5.230400968158468,2024-12-01
0,2.914070710933508,2024-12-02
0,3.378396785593708,2024-12-03
0,6.668008967066342,2024-12-04
0,6.362087626979118,2024-12-05
0,2.7444887375325293,2024-12-06
0,7.068151148414875,2024-12-07
0,6.120631647705933,2024-12-08
0,1.475811196761787,2024-12-09
0,2.5510205045177625,2024-12-10
0,2.2597071560985116,2024-12-11
0,4.282777857284516,2024-12-12
0,5.3391064454775,2024-12-13
0,4.906587699032063,2024-12-14
0,4.358209231123882,2024-12-15
0,4.705874948861434,2024-12-16
0,4.234800540305667,2024-12-17
0,3.851538512484159,2024-12-18
0,3.2609743319321445,2024-12-19
0,3.7252849226338225,2024-12-20
0,2.728259027475333,2024-12-21
0,3.5174930975368435,2024-12-22
0,4.238710881086894,2024-12-23
0,5.290275246664885,2024-12-24
0,21.907294734353727,2024-12-25
0,4.217384934012124,2024-12-26
0,3.0430983709163506,2024-12-27
0,1.697759242588186,2024-12-28
0,2.5482929601401647,2024-12-29
0,2.49713144012044,2024-12-30
0,4.61606355234231,2024-12-31
0,2.7621981948812135,2025-01-01
0,4.647596788565459,2025-01-02
0,3.229483162956595,2025-01-03
0,4.110427189179066,2025-01-04
0,1.4136683861573802,2025-01-05
0,2.8764304333349506,2025-01-06
0,2.9532085822392564,2025-01-07
0,3.36562847950325,2025-01-08
0,6.553745953692829,2025-01-09
0,10.507416714585418,2025-01-10
0,4.847477014119513,2025-01-11
0,6.53393176178413,2025-01-12
0,1.7881601580674644,2025-01-13
0,4.002878837420879,2025-01-14
0,7.215606578518258,2025-01-15
0,3.5533059086620384,2025-01-16
0,3.4754101219610734,2025-01-17
0,2.0451410343354803,2025-01-18
0,2.806493702742724,2025-01-19
0,3.279988786896283,2025-01-20
0,2.781616746131922,2025-01-21
0,3.62203323024972,2025-01-22
0,8.319745560406204,2025-01-23
0,5.363698847386663,2025-01-24
0,6.084837264680181,2025-01-25
0,4.153543131469578,2025-01-26
0,5.885759899334835,2025-01-27
0,7.292406232698692,2025-01-28
0,4.538968059123315,2025-01-29
0,2.135586380334504,2025-01-30
0,3.452275303152512,2025-01-31
0,4.319939529200487,2025-02-01
0,5.406785766925171,2025-02-02
0,3.7651735738435117,2025-02-03
0,4.44496204996379,2025-02-04
0,3.58129566606184,2025-02-05
0,4.318435168398029,2025-02-06
0,3.4963364331976376,2025-02-07
0,2.536789701889263,2025-02-08
0,2.3157981476316074,2025-02-09
0,2.9435852125384554,2025-02-10
0,2.1449133211341485,2025-02-11
0,1.390986797790657,2025-02-12
0,3.166141613717244,2025-02-13
0,5.144099628752627,2025-02-14
0,1.1157815535995923,2025-02-15
0,1.8886725288255635,2025-02-16
0,2.707269623102345,2025-02-17
0,6.27143200223261,2025-02-18
0,1.6747131844446437,2025-02-19
0,2.6964253141881107,2025-02-20
0,5.02086357296154,2025-02-21
0,5.876333022484106,2025-02-22
0,7.41798138792894,2025-02-23
0,2.9650007792443285,2025-02-24
0,3.6943446106172795,2025-02-25
0,3.32337505414964,2025-02-26
0,6.398147547484726,2025-02-27
0,4.617642918401426,2025-02-28
0,3.5162752312067544,2025-03-01
0,3.426211230420666,2025-03-02
0,4.264028738174669,2025-03-03
0,2.6099969164622854,2025-03-04
0,2.6846252808230897,2025-03-05
0,4.286479341347682,2025-03-06
0,2.7241319897031486,2025-03-07
0,4.83521702678968,2025-03-08
0,2.428531405147589,2025-03-09
0,3.30208479673408,2025-03-10
0,4.03359072237502,2025-03-11
0,1.682613243127672,2025-03-12
0,2.572123626218557,2025-03-13
0,1.335025249320237,2025-03-14
0,1.0628495412069372,2025-03-15
0,2.808172245019656,2025-03-16
0,2.882562311973557,2025-03-17
0,1.7803749719109492,2025-03-18
0,1.1443268197752186,2025-03-19
0,2.1450905569936065,2025-03-20
0,3.302116765595454,2025-03-21
0,3.4091760040191863,2025-03-22
0,1.9477888747392542,2025-03-23
0,41.2968189786612,2025-03-24
0,3.822119453494254,2025-03-25
0,7.530789908198021,2025-03-26
0,4.814089661222704,2025-03-27
0,4.581715466399906,2025-03-28
0,3.899499607442436,2025-03-29
0,1.0571932411552774,2025-03-30
0,8.731495878259528,2025-03-31
